Iteration, Balance Before, Close Price Before, Action, Contracts, Position, Reward, Balance After, Close Price After
36,1000374.25,12605.5,0,2,long,0.0,1000374.25,12605.5
37,1000428.5,12615.75,2,2,short,-0.5,1000428.0,12615.75
38,1000397.0,12626.5,1,1,long,0.0,1000397.0,12626.5
39,1000125.25,12642.5,0,1,short,0.5,1000125.75,12642.5
40,1000443.25,12655.75,2,3,short,0.0,1000443.25,12655.75
41,1000167.25,12643.25,0,1,long,-1.0,1000166.25,12643.25
42,1000163.0,12663.5,2,1,short,0.0,1000163.0,12663.5
43,1000272.0,12636.25,0,2,long,1.25,1000273.25,12636.25
44,1000322.5,12648.5,2,2,short,0.75,1000323.25,12648.5
45,1000342.0,12643.75,1,3,long,0.0,1000342.0,12643.75
46,1000299.0,12630.5,2,3,short,0.5,1000299.5,12630.5
47,1000099.0,12650.75,0,3,short,-0.5,1000098.5,12650.75
48,1000396.75,12635.25,2,1,short,1.0,1000397.75,12635.25
49,1000287.5,12659.75,0,3,short,0.75,1000288.25,12659.75
50,1000253.5,12654.0,2,3,short,0.0,1000253.5,12654.0
51,1000712.5,12646.25,0,2,long,0.25,1000712.75,12646.25
52,1000518.0,12635.5,1,3,long,0.0,1000518.0,12635.5
53,1000435.5,12638.25,0,2,short,0.25,1000435.75,12638.25
54,1000261.5,12630.75,0,1,short,0.75,1000262.25,12630.75
55,1000400.5,12655.0,1,2,long,0.0,1000400.5,12655.0
56,1000248.0,12683.75,2,3,short,0.0,1000248.0,12683.75
57,1000511.0,12687.0,0,2,short,0.5,1000511.5,12687.0
58,1000463.0,12676.25,2,3,short,0.0,1000463.0,12676.25
59,1000162.5,12655.0,2,1,short,1.25,1000163.75,12655.0
60,1000407.25,12659.5,1,2,long,0.0,1000407.25,12659.5
61,1000534.25,12643.25,2,3,short,0.25,1000534.5,12643.25
62,1000306.5,12642.0,2,1,short,-0.25,1000306.25,12642.0
63,1000461.5,12629.25,2,1,short,0.0,1000461.5,12629.25
64,1000432.5,12650.25,1,1,long,0.0,1000432.5,12650.25
65,1000518.75,12664.0,2,3,short,1.0,1000519.75,12664.0
66,1000780.25,12659.0,0,2,short,-2.0,1000778.25,12659.0
67,1000313.75,12672.5,1,2,long,0.0,1000313.75,12672.5
68,1000427.5,12660.25,0,1,long,0.75,1000428.25,12660.25
69,1000447.75,12651.75,0,2,short,-0.25,1000447.5,12651.75
70,1000330.0,12659.75,0,3,short,-1.0,1000329.0,12659.75
71,1000279.75,12670.5,0,1,long,0.5,1000280.25,12670.5
72,1000120.0,12657.75,1,3,long,0.0,1000120.0,12657.75
73,1000439.5,12654.0,1,1,long,-1.0,1000438.5,12654.0
74,1000214.25,12609.25,1,1,long,-0.25,1000214.0,12609.25
75,1000160.5,12606.25,0,3,short,-0.5,1000160.0,12606.25
76,1000297.75,12565.75,2,3,short,0.0,1000297.75,12565.75
77,1000271.25,12549.75,2,1,short,0.75,1000272.0,12549.75
78,1000050.25,12502.5,0,1,long,-1.0,1000049.25,12502.5
79,1000379.5,12517.0,2,1,short,0.25,1000379.75,12517.0
80,1000600.25,12494.0,0,3,long,-0.5,1000599.75,12494.0
81,1000424.25,12514.0,1,1,long,0.0,1000424.25,12514.0
82,1000595.25,12507.0,2,3,short,0.0,1000595.25,12507.0
83,1000261.5,12477.25,2,4,short,0.0,1000261.5,12477.25
84,1000445.0,12469.25,2,1,short,1.5,1000446.5,12469.25
85,999633.25,12443.75,1,3,long,0.0,999633.25,12443.75
86,1000572.0,12421.75,1,2,long,0.0,1000572.0,12421.75
87,1000462.25,12421.0,0,2,long,-0.25,1000462.0,12421.0
88,1000684.25,12414.5,1,1,long,0.0,1000684.25,12414.5
89,1000390.0,12425.0,2,2,short,0.0,1000390.0,12425.0
90,1000214.75,12408.25,0,2,short,1.25,1000216.0,12408.25
91,1000418.75,12408.25,0,1,long,1.0,1000419.75,12408.25
92,1000084.5,12401.5,0,4,long,-0.25,1000084.25,12401.5
93,1000081.0,12385.75,0,2,long,2.25,1000083.25,12385.75
94,1000036.5,12405.5,1,1,long,1.0,1000037.5,12405.5
95,1000009.25,12413.0,1,1,long,0.0,1000009.25,12413.0
96,999968.75,12403.75,0,2,short,0.5,999969.25,12403.75
97,1000066.25,12382.25,0,1,short,-0.75,1000065.5,12382.25
98,1000484.0,12387.25,2,2,short,0.0,1000484.0,12387.25
99,1000080.75,12342.5,0,2,long,0.75,1000081.5,12342.5
100,1000160.25,12362.25,1,3,long,2.0,1000162.25,12362.25
101,1000246.0,12378.0,1,1,long,0.5,1000246.5,12378.0
102,1000395.25,12389.0,1,1,long,-0.75,1000394.5,12389.0
103,1000660.25,12393.75,1,4,long,0.25,1000660.5,12393.75
104,1000083.75,12372.25,0,4,long,-0.5,1000083.25,12372.25
105,1000252.5,12371.5,2,3,short,-0.25,1000252.25,12371.5
106,1000908.0,12366.75,1,4,long,0.0,1000908.0,12366.75
107,1000116.0,12352.0,1,4,long,0.25,1000116.25,12352.0
108,1000388.75,12357.0,2,3,short,-1.25,1000387.5,12357.0
109,1000765.5,12360.75,2,3,short,-0.25,1000765.25,12360.75
110,1000348.0,12384.75,2,4,short,-1.25,1000346.75,12384.75
111,1000150.5,12366.25,1,2,long,0.5,1000151.0,12366.25
112,999639.5,12383.0,2,3,short,0.0,999639.5,12383.0
113,1000401.75,12373.0,1,1,long,0.0,1000401.75,12373.0
114,1000347.75,12369.0,2,3,short,-1.0,1000346.75,12369.0
115,1000087.25,12398.25,2,3,short,0.0,1000087.25,12398.25
116,999934.75,12388.5,1,1,long,0.0,999934.75,12388.5
117,1000389.0,12401.25,2,2,short,0.0,1000389.0,12401.25
118,1000349.5,12416.5,0,3,long,2.25,1000351.75,12416.5
119,1000249.25,12391.75,0,4,short,1.5,1000250.75,12391.75
120,999977.0,12377.25,2,1,short,0.75,999977.75,12377.25
121,1000113.0,12364.75,2,2,short,0.0,1000113.0,12364.75
122,1000240.75,12336.75,2,1,short,0.25,1000241.0,12336.75
123,1000290.25,12317.75,2,4,short,0.0,1000290.25,12317.75
124,1000195.0,12314.5,0,4,long,-0.5,1000194.5,12314.5
125,1000475.75,12344.0,1,1,long,0.0,1000475.75,12344.0
126,1000723.25,12341.25,2,2,short,0.0,1000723.25,12341.25
127,1000559.25,12348.5,2,4,short,0.25,1000559.5,12348.5
128,1000700.0,12374.25,0,3,long,0.5,1000700.5,12374.25
129,1000764.0,12375.25,2,1,short,0.0,1000764.0,12375.25
130,1000634.25,12353.0,2,2,short,0.5,1000634.75,12353.0
131,1000262.25,12375.5,1,3,long,0.0,1000262.25,12375.5
132,1000159.25,12349.75,1,3,long,0.0,1000159.25,12349.75
133,1000547.75,12337.75,2,2,short,0.0,1000547.75,12337.75
134,1000809.5,12330.75,1,4,long,0.75,1000810.25,12330.75
135,1000562.0,12325.0,2,1,short,0.0,1000562.0,12325.0
136,1000607.0,12302.5,1,3,long,0.5,1000607.5,12302.5
137,1000218.5,12325.75,2,2,short,-0.5,1000218.0,12325.75
138,1000671.5,12315.25,2,1,short,0.0,1000671.5,12315.25
139,1000585.25,12293.25,1,4,long,0.0,1000585.25,12293.25
140,1000883.75,12285.75,1,1,long,0.0,1000883.75,12285.75
141,1000352.0,12299.25,0,4,short,-0.5,1000351.5,12299.25
142,1000998.25,12311.0,2,2,short,0.0,1000998.25,12311.0
143,1000196.5,12307.0,2,1,short,0.25,1000196.75,12307.0
144,1000579.75,12303.5,1,2,long,0.0,1000579.75,12303.5
145,1000390.5,12322.0,1,3,long,0.25,1000390.75,12322.0
146,1000390.75,12336.25,0,1,short,-1.0,1000389.75,12336.25
147,1000466.75,12312.5,2,4,short,0.0,1000466.75,12312.5
148,1000311.75,12311.5,0,1,short,0.25,1000312.0,12311.5
149,1000669.5,12306.25,1,1,long,0.0,1000669.5,12306.25
150,1000733.5,12298.0,2,1,short,0.25,1000733.75,12298.0
151,1000044.0,12272.0,2,2,short,0.0,1000044.0,12272.0
152,1000292.5,12281.75,0,1,short,-1.25,1000291.25,12281.75
153,1000496.25,12299.5,2,3,short,0.0,1000496.25,12299.5
154,1000563.5,12312.75,1,1,long,0.25,1000563.75,12312.75
155,1000392.25,12285.75,1,3,long,0.0,1000392.25,12285.75
156,1000460.0,12287.25,1,4,long,0.0,1000460.0,12287.25
157,1000266.75,12310.0,1,4,long,1.5,1000268.25,12310.0
158,1000400.5,12303.5,0,1,long,0.0,1000400.5,12303.5
159,1000746.0,12316.75,0,4,long,0.0,1000746.0,12316.75
160,1000898.0,12326.0,0,1,long,-0.25,1000897.75,12326.0
161,1000483.0,12323.25,1,4,long,0.0,1000483.0,12323.25
162,1000196.25,12352.5,1,4,long,0.0,1000196.25,12352.5
163,1000414.75,12362.75,1,4,long,-0.25,1000414.5,12362.75
164,1000265.0,12357.25,2,2,short,0.0,1000265.0,12357.25
165,1000263.5,12361.0,1,1,long,0.5,1000264.0,12361.0
166,1000207.75,12394.25,1,1,long,0.0,1000207.75,12394.25
167,1000398.5,12402.0,0,1,short,0.0,1000398.5,12402.0
168,1000044.0,12394.75,1,1,long,0.0,1000044.0,12394.75
169,1000142.0,12371.0,1,1,long,0.5,1000142.5,12371.0
170,1000244.75,12373.75,2,3,short,0.0,1000244.75,12373.75
171,1000136.0,12372.5,2,4,short,0.0,1000136.0,12372.5
172,1000356.25,12382.5,0,3,short,-0.25,1000356.0,12382.5
173,1000929.25,12372.0,2,3,short,0.5,1000929.75,12372.0
174,1000677.25,12391.5,0,1,long,-0.5,1000676.75,12391.5
175,1000194.0,12392.75,1,2,long,0.25,1000194.25,12392.75
176,1000787.0,12384.25,1,1,long,0.0,1000787.0,12384.25
177,1000655.75,12350.75,2,1,short,0.0,1000655.75,12350.75
178,1000803.5,12354.5,2,1,short,1.0,1000804.5,12354.5
179,1000170.25,12375.5,2,4,short,0.25,1000170.5,12375.5
180,1000939.75,12369.25,0,3,short,0.0,1000939.75,12369.25
181,1000181.0,12387.5,2,4,short,-0.75,1000180.25,12387.5
182,1000326.5,12388.5,2,4,short,0.0,1000326.5,12388.5
183,999897.5,12402.75,1,1,long,-0.25,999897.25,12402.75
184,999908.25,12388.75,0,1,short,0.5,999908.75,12388.75
185,1000230.25,12399.75,2,2,short,0.0,1000230.25,12399.75
186,1000706.75,12390.25,1,1,long,0.0,1000706.75,12390.25
187,1001275.0,12383.25,2,4,short,0.0,1001275.0,12383.25
188,1000620.25,12377.25,1,3,long,0.0,1000620.25,12377.25
189,1000619.25,12364.0,2,4,short,0.0,1000619.25,12364.0
190,1000233.25,12366.0,1,4,long,0.0,1000233.25,12366.0
191,1001027.5,12354.75,0,2,long,-1.5,1001026.0,12354.75
192,1000688.25,12369.75,0,1,short,0.25,1000688.5,12369.75
193,1000140.0,12384.5,2,3,short,-1.0,1000139.0,12384.5
194,1000815.75,12393.5,2,2,short,0.25,1000816.0,12393.5
195,1001088.5,12400.5,1,4,long,1.75,1001090.25,12400.5
196,1000413.0,12400.25,2,4,short,0.0,1000413.0,12400.25
197,1001187.75,12406.25,2,2,short,1.25,1001189.0,12406.25
198,1001404.25,12400.75,2,2,short,0.0,1001404.25,12400.75
199,1000893.5,12391.75,1,1,long,0.0,1000893.5,12391.75
200,1001342.75,12389.75,0,4,long,1.5,1001344.25,12389.75
201,1001369.0,12381.0,2,2,short,0.25,1001369.25,12381.0
202,1001538.25,12376.5,1,4,long,0.5,1001538.75,12376.5
203,1001263.0,12377.25,1,4,long,0.0,1001263.0,12377.25
204,1001033.75,12379.0,0,1,long,-0.25,1001033.5,12379.0
205,1000664.5,12372.25,1,4,long,0.0,1000664.5,12372.25
206,1001143.75,12377.25,1,1,long,0.5,1001144.25,12377.25
207,1000000.25,12375.25,0,1,long,0.75,1000001.0,12375.25
208,1000828.25,12361.75,1,4,long,-1.0,1000827.25,12361.75
209,1000652.25,12341.75,1,1,long,0.25,1000652.5,12341.75
210,1001141.25,12344.25,2,3,short,0.0,1001141.25,12344.25
211,1000492.5,12352.25,2,4,short,0.0,1000492.5,12352.25
212,1000493.0,12352.0,2,1,short,0.0,1000493.0,12352.0
213,1001141.75,12347.25,2,4,short,0.0,1001141.75,12347.25
214,1001189.75,12344.5,2,3,short,0.0,1001189.75,12344.5
215,999946.5,12343.0,2,2,short,0.5,999947.0,12343.0
216,1001100.25,12347.5,1,2,long,0.25,1001100.5,12347.5
217,999750.75,12323.25,1,2,long,0.0,999750.75,12323.25
218,1001060.5,12327.0,1,4,long,-0.5,1001060.0,12327.0
219,1000604.75,12313.0,2,1,short,0.0,1000604.75,12313.0
220,1000094.75,12300.75,2,2,short,0.0,1000094.75,12300.75
221,1000162.25,12271.0,2,4,short,0.25,1000162.5,12271.0
222,1000626.75,12239.75,1,1,long,0.0,1000626.75,12239.75
223,1001094.0,12247.25,2,3,short,-1.0,1001093.0,12247.25
224,1000593.0,12231.25,1,3,long,-0.75,1000592.25,12231.25
225,1000755.0,12272.25,1,3,long,1.5,1000756.5,12272.25
226,1000768.5,12274.5,1,2,long,1.25,1000769.75,12274.5
227,1000732.0,12293.75,2,3,short,0.0,1000732.0,12293.75
228,1000820.75,12274.75,2,2,short,0.75,1000821.5,12274.75
229,1000430.75,12273.5,2,4,short,-0.25,1000430.5,12273.5
230,1001290.5,12268.5,1,3,long,1.0,1001291.5,12268.5
231,1000964.0,12282.75,1,2,long,-1.5,1000962.5,12282.75
232,1001334.5,12281.25,2,4,short,-0.75,1001333.75,12281.25
233,1000487.75,12268.5,2,2,short,-0.75,1000487.0,12268.5
234,1000984.0,12254.25,2,2,short,0.0,1000984.0,12254.25
235,1000708.5,12273.75,0,1,short,0.25,1000708.75,12273.75
236,1000689.5,12255.25,2,4,short,0.0,1000689.5,12255.25
237,1001219.0,12253.0,2,4,short,-1.25,1001217.75,12253.0
238,1000925.75,12244.75,1,2,long,0.0,1000925.75,12244.75
239,1001394.5,12244.75,2,3,short,0.0,1001394.5,12244.75
240,1001408.75,12242.25,1,1,long,0.75,1001409.5,12242.25
241,1001286.0,12228.0,1,2,long,0.0,1001286.0,12228.0
242,1001116.75,12259.0,1,4,long,-0.25,1001116.5,12259.0
243,1001054.75,12283.25,1,4,long,2.25,1001057.0,12283.25
244,1001629.75,12258.5,1,2,long,-0.75,1001629.0,12258.5
245,1000907.25,12256.25,1,3,long,0.0,1000907.25,12256.25
246,1000350.75,12231.5,2,4,short,0.25,1000351.0,12231.5
247,1001093.75,12230.0,2,1,short,0.0,1001093.75,12230.0
248,1000760.5,12187.25,2,2,short,0.75,1000761.25,12187.25
249,1000411.5,12203.25,1,2,long,0.0,1000411.5,12203.25
250,1001124.25,12196.75,2,4,short,0.0,1001124.25,12196.75
251,1001126.0,12187.75,0,2,long,0.5,1001126.5,12187.75
252,1000972.75,12196.5,2,2,short,0.0,1000972.75,12196.5
253,1001246.0,12203.75,0,1,long,0.0,1001246.0,12203.75
254,1001085.5,12189.0,1,2,long,-0.75,1001084.75,12189.0
255,1001493.25,12188.75,2,4,short,0.0,1001493.25,12188.75
256,1000795.75,12181.5,2,3,short,0.0,1000795.75,12181.5
257,1001593.25,12174.5,1,4,long,1.0,1001594.25,12174.5
258,1001296.25,12173.75,1,1,long,0.0,1001296.25,12173.75
259,1001343.0,12159.75,1,3,long,0.25,1001343.25,12159.75
260,1001333.75,12168.25,2,2,short,0.0,1001333.75,12168.25
261,1000921.0,12170.75,2,2,short,0.5,1000921.5,12170.75
262,1001238.0,12154.25,1,4,long,1.25,1001239.25,12154.25
263,1001239.0,12157.0,1,4,long,0.0,1001239.0,12157.0
264,1001263.5,12154.75,1,4,long,0.0,1001263.5,12154.75
265,1001075.0,12160.0,1,2,long,1.0,1001076.0,12160.0
266,1000752.25,12147.25,1,4,long,1.25,1000753.5,12147.25
267,1001438.5,12150.25,1,3,long,0.0,1001438.5,12150.25
268,1000848.25,12158.0,0,3,long,2.0,1000850.25,12158.0
269,1000666.75,12171.5,1,1,long,0.0,1000666.75,12171.5
270,1001434.75,12163.5,2,4,short,0.0,1001434.75,12163.5
271,1000410.0,12149.0,1,4,long,-0.25,1000409.75,12149.0
272,1000510.75,12139.25,2,1,short,0.0,1000510.75,12139.25
273,1001269.75,12136.75,2,4,short,0.5,1001270.25,12136.75
274,1000648.0,12140.75,1,2,long,0.0,1000648.0,12140.75
275,1001492.0,12134.0,0,1,short,0.25,1001492.25,12134.0
276,1001466.5,12123.0,2,4,short,0.0,1001466.5,12123.0
277,1000493.0,12109.75,1,3,long,0.25,1000493.25,12109.75
278,1001174.75,12125.0,1,2,long,0.5,1001175.25,12125.0
279,1001088.5,12126.0,1,1,long,0.0,1001088.5,12126.0
280,1000714.75,12143.25,2,2,short,-1.0,1000713.75,12143.25
281,1001225.25,12130.75,2,4,short,0.0,1001225.25,12130.75
282,1001059.75,12137.75,0,2,short,0.25,1001060.0,12137.75
283,1000862.5,12111.75,1,2,long,-1.0,1000861.5,12111.75
284,1001470.5,12113.75,1,4,long,0.0,1001470.5,12113.75
285,1001137.5,12124.75,0,2,short,-1.75,1001135.75,12124.75
286,1001036.75,12112.75,1,4,long,2.0,1001038.75,12112.75
287,1001146.5,12124.5,2,4,short,0.0,1001146.5,12124.5
288,1001257.75,12104.75,2,4,short,0.0,1001257.75,12104.75
289,1001243.75,12116.0,1,1,long,1.5,1001245.25,12116.0
290,999780.25,12104.75,1,4,long,-0.75,999779.5,12104.75
291,1000817.75,12115.5,2,1,short,0.0,1000817.75,12115.5
292,1001089.0,12113.0,2,2,short,0.0,1001089.0,12113.0
293,1001884.5,12114.5,1,3,long,0.0,1001884.5,12114.5
294,1001819.75,12123.0,2,1,short,0.75,1001820.5,12123.0
295,1002015.25,12123.0,1,2,long,0.75,1002016.0,12123.0
296,1001611.0,12135.25,1,4,long,0.0,1001611.0,12135.25
297,1002014.25,12135.0,1,2,long,0.75,1002015.0,12135.0
298,1000777.5,12129.75,2,2,short,-0.75,1000776.75,12129.75
299,1001857.0,12122.5,1,3,long,-1.0,1001856.0,12122.5
300,999899.5,12116.25,2,1,short,0.5,999900.0,12116.25
301,1000570.75,12121.5,2,3,short,0.25,1000571.0,12121.5
302,1001185.25,12133.25,2,3,short,0.5,1001185.75,12133.25
303,1001357.0,12127.25,1,1,long,0.0,1001357.0,12127.25
304,1001972.0,12117.5,1,3,long,0.75,1001972.75,12117.5
305,1000913.25,12086.0,2,2,short,0.0,1000913.25,12086.0
306,1001205.5,12097.5,2,3,short,-1.0,1001204.5,12097.5
307,1000282.0,12111.25,1,1,long,-1.0,1000281.0,12111.25
308,1000663.0,12089.0,2,1,short,0.0,1000663.0,12089.0
309,1001425.5,12102.75,2,1,short,0.5,1001426.0,12102.75
310,1001631.5,12103.25,2,1,short,0.5,1001632.0,12103.25
311,1001895.25,12090.75,1,2,long,0.0,1001895.25,12090.75
312,1001767.75,12102.5,1,4,long,0.0,1001767.75,12102.5
313,1000819.75,12087.75,2,3,short,0.0,1000819.75,12087.75
314,1001319.75,12073.0,1,1,long,0.0,1001319.75,12073.0
315,1000781.0,12105.25,2,2,short,0.0,1000781.0,12105.25
316,1001892.75,12121.0,1,3,long,0.0,1001892.75,12121.0
317,1001311.75,12156.0,2,4,short,0.0,1001311.75,12156.0
318,1000859.75,12139.5,1,1,long,-0.5,1000859.25,12139.5
319,1000980.0,12130.25,2,2,short,-0.25,1000979.75,12130.25
320,1001024.5,12131.75,2,4,short,0.0,1001024.5,12131.75
321,1001242.0,12131.25,1,2,long,0.0,1001242.0,12131.25
322,1000870.75,12122.5,2,3,short,-0.5,1000870.25,12122.5
323,1001242.0,12128.75,0,3,short,-0.75,1001241.25,12128.75
324,1001696.5,12130.5,2,4,short,0.5,1001697.0,12130.5
325,1001570.5,12154.25,0,1,long,0.25,1001570.75,12154.25
326,1001709.25,12164.25,1,4,long,0.0,1001709.25,12164.25
327,1001313.75,12141.25,1,1,long,0.0,1001313.75,12141.25
328,1001392.75,12113.5,2,4,short,0.75,1001393.5,12113.5
329,1000827.5,12096.0,2,1,short,0.75,1000828.25,12096.0
330,1000812.0,12059.75,1,2,long,0.0,1000812.0,12059.75
331,1001149.0,12056.0,1,1,long,0.0,1001149.0,12056.0
332,1001111.5,12081.0,2,4,short,0.0,1001111.5,12081.0
333,1000855.0,12047.25,1,4,long,0.75,1000855.75,12047.25
334,1001414.5,12046.75,2,3,short,0.75,1001415.25,12046.75
335,1001172.25,12067.75,1,3,long,0.0,1001172.25,12067.75
336,1000878.0,12081.25,1,3,long,2.0,1000880.0,12081.25
337,1001588.25,12101.0,2,2,short,0.0,1001588.25,12101.0
338,1000991.0,12112.0,2,4,short,0.0,1000991.0,12112.0
339,1001880.5,12091.5,2,3,short,0.0,1001880.5,12091.5
340,1001752.0,12093.5,1,1,long,0.75,1001752.75,12093.5
341,1001492.75,12088.75,1,4,long,0.0,1001492.75,12088.75
342,1000848.0,12116.75,2,1,short,-0.25,1000847.75,12116.75
343,1001222.25,12087.75,2,4,short,0.25,1001222.5,12087.75
344,1000955.25,12087.75,2,1,short,0.5,1000955.75,12087.75
345,1001711.25,12100.75,1,4,long,0.0,1001711.25,12100.75
346,1001017.0,12102.25,2,4,short,0.5,1001017.5,12102.25
347,1001342.75,12099.75,2,1,short,-0.25,1001342.5,12099.75
348,1001311.75,12119.25,1,3,long,0.0,1001311.75,12119.25
349,1001491.25,12120.5,2,2,short,-0.5,1001490.75,12120.5
350,1001652.0,12140.5,1,1,long,1.75,1001653.75,12140.5
351,1001757.0,12138.5,2,2,short,0.0,1001757.0,12138.5
352,1001940.5,12131.25,2,1,short,0.0,1001940.5,12131.25
353,1001562.25,12142.5,2,2,short,-0.25,1001562.0,12142.5
354,1001274.5,12144.75,2,3,short,0.5,1001275.0,12144.75
355,1001902.5,12164.0,2,1,short,0.0,1001902.5,12164.0
356,1001702.5,12157.0,2,2,short,0.0,1001702.5,12157.0
357,1001436.75,12157.25,1,3,long,0.0,1001436.75,12157.25
358,1001425.25,12143.75,1,2,long,0.0,1001425.25,12143.75
359,1001156.5,12162.5,2,3,short,-1.0,1001155.5,12162.5
360,1001889.0,12172.75,2,4,short,0.25,1001889.25,12172.75
361,1001180.75,12097.25,1,3,long,-0.25,1001180.5,12097.25
362,1000359.5,12148.5,1,4,long,-0.75,1000358.75,12148.5
363,1001005.25,12129.0,1,1,long,0.0,1001005.25,12129.0
364,1001629.5,12092.75,0,1,short,0.25,1001629.75,12092.75
365,1001599.5,12087.5,2,3,short,1.0,1001600.5,12087.5
366,1000887.5,12115.25,2,3,short,0.75,1000888.25,12115.25
367,1001349.75,12068.25,2,1,short,0.75,1001350.5,12068.25
368,1001917.5,12063.5,2,3,short,1.0,1001918.5,12063.5
369,1001437.25,12082.0,2,3,short,0.0,1001437.25,12082.0
370,1001581.0,12091.5,1,3,long,0.0,1001581.0,12091.5
371,1001906.5,12097.5,1,3,long,0.0,1001906.5,12097.5
372,1001160.25,12087.0,2,1,short,0.0,1001160.25,12087.0
373,1001717.75,12062.0,1,4,long,-0.25,1001717.5,12062.0
374,1001314.75,12064.75,1,3,long,-0.25,1001314.5,12064.75
375,1001662.5,12083.0,1,3,long,0.0,1001662.5,12083.0
376,1001419.25,12105.5,1,3,long,0.25,1001419.5,12105.5
377,1000702.0,12191.25,1,2,long,-0.5,1000701.5,12191.25
378,1001185.5,12193.25,1,3,long,0.25,1001185.75,12193.25
379,1000980.25,12183.5,2,1,short,0.5,1000980.75,12183.5
380,1001091.25,12177.0,2,3,short,0.5,1001091.75,12177.0
381,1000907.0,12203.0,2,3,short,-0.75,1000906.25,12203.0
382,999709.25,12219.75,2,3,short,0.25,999709.5,12219.75
383,1001234.5,12205.25,2,4,short,0.25,1001234.75,12205.25
384,1001670.75,12213.0,2,3,short,0.25,1001671.0,12213.0
385,1001727.5,12178.75,1,1,long,1.5,1001729.0,12178.75
386,1000791.5,12181.75,1,3,long,0.0,1000791.5,12181.75
387,1000543.75,12179.25,1,4,long,0.0,1000543.75,12179.25
388,1000455.75,12197.0,2,4,short,0.0,1000455.75,12197.0
389,1000621.25,12193.5,2,1,short,0.0,1000621.25,12193.5
390,1000761.5,12214.5,1,4,long,1.0,1000762.5,12214.5
391,1000634.5,12216.5,2,2,short,0.0,1000634.5,12216.5
392,1001393.0,12205.5,2,4,short,0.25,1001393.25,12205.5
393,1001277.75,12220.5,1,2,long,0.0,1001277.75,12220.5
394,1001379.0,12201.75,1,3,long,0.0,1001379.0,12201.75
395,1001109.0,12192.0,0,4,long,-1.5,1001107.5,12192.0
396,1001660.25,12202.75,2,2,short,0.25,1001660.5,12202.75
397,1000920.0,12224.75,1,1,long,0.0,1000920.0,12224.75
398,999945.0,12248.5,2,2,short,0.0,999945.0,12248.5
399,1001229.75,12247.0,2,2,short,1.0,1001230.75,12247.0
400,1001395.5,12242.0,1,1,long,0.25,1001395.75,12242.0
401,1001357.25,12215.5,1,1,long,0.0,1001357.25,12215.5
402,1000940.0,12215.5,2,4,short,1.0,1000941.0,12215.5
403,1001244.75,12241.25,2,1,short,0.0,1001244.75,12241.25
404,1001206.5,12240.0,0,3,long,0.0,1001206.5,12240.0
405,1001044.0,12212.5,1,2,long,1.25,1001045.25,12212.5
406,1000759.5,12188.25,2,2,short,0.0,1000759.5,12188.25
407,1001135.75,12189.0,2,2,short,0.25,1001136.0,12189.0
