time,open,high,low,close,Candle high,Candle low,TBbox,BBbox,test BaseLine,test BaseLine,test_ema,Go Long,Go Short,Exit Long,Exit Short,Volume,Volume MA
1666239300,11305.75,11305.75,11305.75,11305.75,11650,11650,11650,11332.5,11496.066666666664,11496.066666666666,11396.944291217234,0,0,0,0,1,1.1
1666354500,11200,11200,11200,11200,11650,11650,11650,11332.5,11478.049999999996,11478.050000000001,11357.555432973788,0,0,0,0,3,1.2
1666368000,11450,11450,11450,11450,11200,11200,11650,11332.5,11446.658333333331,11446.658333333331,11376.04434637903,0,0,0,0,1,1.2
1666375500,11550.75,11550.75,11550.75,11550.75,11200,11200,11650,11332.5,11423.808333333329,11423.808333333332,11410.985477103224,0,0,0,0,1,1.2
1666710300,11900,11900,11900,11900,11200,11200,11650,11332.5,11419.208333333328,11419.20833333333,11508.78838168258,0,0,0,0,1,1.2
1666953300,11401.25,11401.25,11401.25,11401.25,11200,11200,11650,11332.5,11421.124999999995,11421.125,11487.280705346064,0,0,0,0,1,1.2
1666966200,11496.75,11496.75,11496.75,11496.75,11450,11450,11650,11332.5,11444.408333333331,11444.408333333331,11489.174564276851,0,0,0,0,1,1.2
1667418600,11200,11200,11200,11200,11450,11450,11900,11200,11468.35833333333,11468.358333333332,11431.33965142148,0,0,0,0,2,1.25
1667471100,11100,11100,11100,11100,11200,11200,11900,11200,11478.683333333329,11478.683333333334,11365.071721137185,0,0,0,0,2,1.3
1667483100,11000,11000,11000,11000,11200,11200,11900,11200,11451.73333333333,11451.733333333335,11292.057376909748,0,0,0,0,2,1.35
1667586000,10951,10951,10951,10951,11200,11200,11900,11200,11396.441666666664,11396.441666666668,11223.845901527799,0,0,0,0,1,1.35
1667831400,11200,11200,11200,11200,11200,11200,11900,11200,11328.074999999997,11328.075000000003,11219.076721222238,0,0,0,0,1,1.35
1668008400,11200,11200,11200,11200,11200,11200,11900,11200,11249.816666666664,11249.816666666668,11215.26137697779,0,0,0,0,2,1.3
1668018900,11100,11100,11100,11100,11100,11100,11900,11200,11179.891666666663,11179.891666666668,11192.209101582233,0,0,0,0,1,1.3
1668019800,11100,11100,11100,11100,11000,11000,11900,11200,11128.324999999997,11128.324999999999,11173.767281265787,0,0,0,0,1,1.3
1668087000,11190.5,11190.5,11190.5,11190.5,11200,11200,11900,11200,11114.741666666663,11114.741666666669,11177.11382501263,0,0,0,0,1,1.3
1668087900,11500,11500,11500,11500,11200,11200,11900,11200,11126.166666666664,11126.16666666667,11241.691060010104,0,0,0,0,1,1.3
1668089700,11550,11550,11550,11550,11100,11100,11900,11200,11159.149999999996,11159.150000000001,11303.352848008082,0,0,0,0,1,1.3
1668111900,11800,11800,11800,11800,11100,11100,11900,11200,11215.466666666662,11215.466666666669,11402.682278406466,0,0,0,0,1,1.3
1668144600,11900,11900,11900,11900,11100,11100,11900,11200,11298.449999999997,11298.450000000003,11502.145822725173,0,0,0,0,1,1.3
1668156600,12000,12000,12000,12000,11190.5,11190.5,11900,11200,11405.08333333333,11405.083333333336,11601.71665818014,0,0,0,0,1,1.3
1668179700,11962,11962,11962,11962,11500,11500,11900,11200,11519.13333333333,11519.133333333333,11673.773326544111,0,0,0,0,1,1.2
1668181500,12000,12000,12000,12000,11500,11500,11900,11200,11638.183333333329,11638.183333333334,11739.018661235288,0,0,0,0,3,1.3
