Iteration, Balance Before, Close Price Before, Action, Contracts, Position, Reward, Balance After, Close Price After
0,-1641957.404797783,12842.25,0,300380,short,-1.0952022171596858,-1641958.5,12842.25
1,2924553.2514083185,12842.25,0,85445,long,-0.0014083183246802466,2924553.25,12842.25
2,7095.001408318325,12842.25,1,45,long,-0.0014083183246802466,7095.0,12842.25
3,2874194.0,12842.25,2,107483,short,0.0,2874194.0,12842.25
4,-1211925.709252758,12842.25,0,392,short,-1.0407472419387156,-1211926.75,12842.25
5,-1406854.3376679427,12842.25,0,8848,short,-1.1623320573027784,-1406855.5,12842.25
6,10881.751408318325,12842.25,1,366,long,-0.0014083183246802466,10881.75,12842.25
7,-1968900.404797783,12842.25,0,928421,short,-1.0952022171596858,-1968901.5,12842.25
