Iteration, Balance Before, Close Price Before, Action, Contracts, Position, Reward, Balance After, Close Price After
0,1000061.5,12780.25,2,1,short,0.0,1000061.5,12780.25
1,1000054.5,12780.25,2,1,short,1.0,1000055.5,12780.25
2,999972.5,12777.0,2,1,short,-0.25,999972.25,12777.0
3,999991.25,12750.75,2,1,short,0.0,999991.25,12750.75
4,1000049.75,12756.75,2,2,short,1.25,1000051.0,12756.75
5,1000091.75,12771.5,1,2,long,0.0,1000091.75,12771.5
6,999949.0,12747.0,0,3,long,-0.25,999948.75,12747.0
7,1000150.25,12757.0,1,2,long,0.25,1000150.5,12757.0
8,999915.25,12751.75,1,2,long,0.25,999915.5,12751.75
9,1000219.5,12738.75,2,1,short,0.0,1000219.5,12738.75
10,1000091.0,12724.5,0,3,long,-0.25,1000090.75,12724.5
11,1000010.0,12736.5,2,2,short,0.0,1000010.0,12736.5
12,1000279.75,12729.5,0,2,long,-0.5,1000279.25,12729.5
13,1000162.0,12725.0,1,1,long,0.0,1000162.0,12725.0
14,1000112.5,12721.0,1,3,long,0.0,1000112.5,12721.0
15,1000041.0,12681.5,2,2,short,0.0,1000041.0,12681.5
16,999996.5,12690.75,0,3,short,1.5,999998.0,12690.75
17,999847.5,12674.25,2,3,short,0.0,999847.5,12674.25
18,999887.0,12626.0,1,3,long,-1.75,999885.25,12626.0
19,999919.0,12593.0,2,3,short,2.0,999921.0,12593.0
20,1000301.5,12577.25,0,3,long,0.75,1000302.25,12577.25
